default,account_check_status,duration_in_month,credit_history,purpose,credit_amount,savings,present_emp_since,installment_as_income_perc,personal_status_sex
0,< 0 INR,18,existing credits paid back duly till now,domestic appliances,119450,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,166550,... < 5000 INR,.. >= 7 years,2,male : single
0,no checking account,36,existing credits paid back duly till now,business,370450,unknown/ no savings account,.. >= 7 years,3,male : single
0,< 0 INR,12,existing credits paid back duly till now,radio/television,32600,... < 5000 INR,.. >= 7 years,4,female : divorced/separated/married
0,no checking account,36,delay in paying off in the past,radio/television,383900,25000 <= ... < 50000 INR ,4 <= ... < 7 years,2,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,6,critical account/ other credits existing (not at this bank),car (new),67150,... < 5000 INR,.. >= 7 years,1,male : single
0,< 0 INR,24,critical account/ other credits existing (not at this bank),business,69100,5000 <= ... < 25000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,15,existing credits paid back duly till now,repairs,43700,unknown/ no savings account,... < 1 year ,4,female : divorced/separated/married
0,< 0 INR,12,existing credits paid back duly till now,radio/television,179500,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,0 <= ... < 10000 INR,11,critical account/ other credits existing (not at this bank),car (new),66100,.. >= 50000 INR ,1 <= ... < 4 years,4,female : divorced/separated/married
0,< 0 INR,18,all credits at this bank paid back duly,domestic appliances,97000,... < 5000 INR,... < 1 year ,3,male : single
0,no checking account,36,existing credits paid back duly till now,domestic appliances,179750,... < 5000 INR,.. >= 7 years,4,male : single
1,< 0 INR,9,existing credits paid back duly till now,car (new),71100,... < 5000 INR,... < 1 year ,3,male : single
0,no checking account,30,critical account/ other credits existing (not at this bank),domestic appliances,337100,unknown/ no savings account,4 <= ... < 7 years,2,male : single
0,no checking account,24,existing credits paid back duly till now,car (used),390700,... < 5000 INR,4 <= ... < 7 years,3,male : single
0,no checking account,24,existing credits paid back duly till now,car (used),463850,unknown/ no savings account,1 <= ... < 4 years,2,male : divorced/separated
0,0 <= ... < 10000 INR,30,critical account/ other credits existing (not at this bank),car (new),109050,unknown/ no savings account,.. >= 7 years,4,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,54900,... < 5000 INR,unemployed,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,24,existing credits paid back duly till now,radio/television,202850,... < 5000 INR,4 <= ... < 7 years,3,male : divorced/separated
1,< 0 INR,12,existing credits paid back duly till now,(vacation - does not exist?),39750,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,24,critical account/ other credits existing (not at this bank),business,141250,unknown/ no savings account,4 <= ... < 7 years,4,male : single
1,0 <= ... < 10000 INR,48,existing credits paid back duly till now,business,783600,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,no checking account,36,critical account/ other credits existing (not at this bank),car (new),330700,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,28,all credits at this bank paid back duly,car (used),391200,unknown/ no savings account,... < 1 year ,3,male : single
0,< 0 INR,27,critical account/ other credits existing (not at this bank),business,122100,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,15,critical account/ other credits existing (not at this bank),domestic appliances,91450,... < 5000 INR,.. >= 7 years,4,male : single
0,< 0 INR,12,critical account/ other credits existing (not at this bank),car (new),108550,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,0 <= ... < 10000 INR,36,critical account/ other credits existing (not at this bank),car (used),290000,... < 5000 INR,1 <= ... < 4 years,3,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),domestic appliances,58450,unknown/ no savings account,1 <= ... < 4 years,4,male : single
0,no checking account,36,delay in paying off in the past,car (used),447350,unknown/ no savings account,4 <= ... < 7 years,3,male : single
0,< 0 INR,21,existing credits paid back duly till now,domestic appliances,130300,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,12,critical account/ other credits existing (not at this bank),radio/television,79600,.. >= 50000 INR ,4 <= ... < 7 years,3,female : divorced/separated/married
0,no checking account,15,existing credits paid back duly till now,radio/television,109300,unknown/ no savings account,4 <= ... < 7 years,1,female : divorced/separated/married
1,< 0 INR,18,existing credits paid back duly till now,radio/television,207650,... < 5000 INR,1 <= ... < 4 years,2,male : single
1,< 0 INR,16,critical account/ other credits existing (not at this bank),car (new),131250,... < 5000 INR,.. >= 7 years,2,male : single
0,no checking account,20,critical account/ other credits existing (not at this bank),car (new),174250,unknown/ no savings account,... < 1 year ,2,male : divorced/separated
0,no checking account,36,critical account/ other credits existing (not at this bank),car (used),523850,unknown/ no savings account,.. >= 7 years,2,male : single
0,no checking account,15,existing credits paid back duly till now,domestic appliances,69300,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed
0,no checking account,24,existing credits paid back duly till now,domestic appliances,63900,... < 5000 INR,.. >= 7 years,4,male : single
0,< 0 INR,12,existing credits paid back duly till now,domestic appliances,55350,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,< 0 INR,21,existing credits paid back duly till now,car (new),188150,unknown/ no savings account,4 <= ... < 7 years,2,male : single
0,0 <= ... < 10000 INR,36,existing credits paid back duly till now,(vacation - does not exist?),185550,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed
0,no checking account,15,delay in paying off in the past,car (used),179700,... < 5000 INR,... < 1 year ,1,female : divorced/separated/married
0,0 <= ... < 10000 INR,9,existing credits paid back duly till now,car (new),159750,unknown/ no savings account,1 <= ... < 4 years,1,female : divorced/separated/married
0,no checking account,36,delay in paying off in the past,domestic appliances,222700,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,24,critical account/ other credits existing (not at this bank),radio/television,236800,... < 5000 INR,... < 1 year ,2,female : divorced/separated/married
0,0 <= ... < 10000 INR,30,existing credits paid back duly till now,domestic appliances,149550,unknown/ no savings account,.. >= 7 years,2,female : divorced/separated/married
0,no checking account,11,existing credits paid back duly till now,business,107100,.. >= 50000 INR ,.. >= 7 years,1,male : divorced/separated
1,< 0 INR,24,all credits at this bank paid back duly,business,158050,... < 5000 INR,1 <= ... < 4 years,4,male : single
1,0 <= ... < 10000 INR,48,no credits taken/ all credits paid back duly,furniture/equipment,921200,... < 5000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
0,no checking account,10,existing credits paid back duly till now,car (used),142400,5000 <= ... < 25000 INR,1 <= ... < 4 years,1,male : single
1,< 0 INR,6,existing credits paid back duly till now,car (new),744800,... < 5000 INR,.. >= 7 years,1,male : single
1,< 0 INR,24,existing credits paid back duly till now,radio/television,117950,5000 <= ... < 25000 INR,unemployed,1,male : divorced/separated
1,< 0 INR,24,existing credits paid back duly till now,radio/television,167250,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,18,critical account/ other credits existing (not at this bank),radio/television,90850,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,no checking account,48,delay in paying off in the past,domestic appliances,637450,25000 <= ... < 50000 INR ,4 <= ... < 7 years,4,male : single
1,< 0 INR,9,existing credits paid back duly till now,domestic appliances,68300,... < 5000 INR,... < 1 year ,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,12,existing credits paid back duly till now,car (new),100100,... < 5000 INR,4 <= ... < 7 years,3,male : single
1,< 0 INR,24,all credits at this bank paid back duly,radio/television,343600,... < 5000 INR,... < 1 year ,2,male : divorced/separated
1,< 0 INR,12,all credits at this bank paid back duly,car (new),34850,... < 5000 INR,... < 1 year ,4,male : single
0,< 0 INR,18,critical account/ other credits existing (not at this bank),radio/television,52450,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
1,< 0 INR,48,existing credits paid back duly till now,car (used),514850,... < 5000 INR,4 <= ... < 7 years,4,male : single
0,no checking account,30,existing credits paid back duly till now,domestic appliances,93350,unknown/ no savings account,.. >= 7 years,4,male : single
0,< 0 INR,12,delay in paying off in the past,car (new),67200,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,< 0 INR,24,existing credits paid back duly till now,radio/television,87350,... < 5000 INR,... < 1 year ,4,male : single
1,0 <= ... < 10000 INR,9,existing credits paid back duly till now,domestic appliances,83500,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,no checking account,9,critical account/ other credits existing (not at this bank),car (new),61200,... < 5000 INR,1 <= ... < 4 years,3,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),domestic appliances,26100,25000 <= ... < 50000 INR ,.. >= 7 years,4,male : single
0,< 0 INR,12,existing credits paid back duly till now,domestic appliances,74900,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,30,delay in paying off in the past,domestic appliances,95950,5000 <= ... < 25000 INR,... < 1 year ,4,male : single
1,>= 10000 INR / salary assignments for at least 1 year,9,existing credits paid back duly till now,domestic appliances,37250,... < 5000 INR,1 <= ... < 4 years,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,6,existing credits paid back duly till now,domestic appliances,103150,... < 5000 INR,... < 1 year ,4,male : married/widowed
1,0 <= ... < 10000 INR,60,existing credits paid back duly till now,(vacation - does not exist?),314400,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),car (used),342100,unknown/ no savings account,1 <= ... < 4 years,2,male : single
0,no checking account,12,existing credits paid back duly till now,car (new),176350,unknown/ no savings account,... < 1 year ,2,male : single
0,no checking account,10,existing credits paid back duly till now,car (new),77300,... < 5000 INR,1 <= ... < 4 years,3,male : single
0,no checking account,24,existing credits paid back duly till now,radio/television,46450,unknown/ no savings account,4 <= ... < 7 years,4,male : single
0,no checking account,4,critical account/ other credits existing (not at this bank),car (new),72750,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,< 0 INR,15,existing credits paid back duly till now,radio/television,92250,... < 5000 INR,... < 1 year ,4,female : divorced/separated/married
0,0 <= ... < 10000 INR,48,no credits taken/ all credits paid back duly,car (new),417900,25000 <= ... < 50000 INR ,... < 1 year ,1,female : divorced/separated/married
1,< 0 INR,24,all credits at this bank paid back duly,radio/television,167450,25000 <= ... < 50000 INR ,... < 1 year ,4,male : single
0,no checking account,12,existing credits paid back duly till now,car (new),142950,unknown/ no savings account,unemployed,4,male : single
1,no checking account,18,existing credits paid back duly till now,radio/television,76650,... < 5000 INR,... < 1 year ,4,male : married/widowed
1,no checking account,24,existing credits paid back duly till now,domestic appliances,181050,5000 <= ... < 25000 INR,.. >= 7 years,2,male : single
0,0 <= ... < 10000 INR,18,critical account/ other credits existing (not at this bank),business,179500,... < 5000 INR,unemployed,3,male : married/widowed
1,< 0 INR,36,delay in paying off in the past,business,107250,... < 5000 INR,4 <= ... < 7 years,2,male : single
1,0 <= ... < 10000 INR,24,existing credits paid back duly till now,car (used),205650,25000 <= ... < 50000 INR ,... < 1 year ,3,female : divorced/separated/married
1,no checking account,36,existing credits paid back duly till now,radio/television,548700,... < 5000 INR,unemployed,4,female : divorced/separated/married
0,< 0 INR,12,existing credits paid back duly till now,car (new),94650,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,< 0 INR,24,critical account/ other credits existing (not at this bank),domestic appliances,61550,.. >= 50000 INR ,.. >= 7 years,4,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,30,critical account/ other credits existing (not at this bank),domestic appliances,182800,unknown/ no savings account,.. >= 7 years,4,male : single
0,0 <= ... < 10000 INR,9,critical account/ other credits existing (not at this bank),domestic appliances,57700,... < 5000 INR,.. >= 7 years,2,male : single
1,< 0 INR,28,existing credits paid back duly till now,car (new),200300,... < 5000 INR,1 <= ... < 4 years,3,male : single
0,0 <= ... < 10000 INR,24,existing credits paid back duly till now,radio/television,153450,5000 <= ... < 25000 INR,.. >= 7 years,4,male : single
0,no checking account,6,critical account/ other credits existing (not at this bank),domestic appliances,87000,... < 5000 INR,.. >= 7 years,2,male : married/widowed
0,0 <= ... < 10000 INR,21,delay in paying off in the past,car (new),117650,... < 5000 INR,1 <= ... < 4 years,1,male : divorced/separated
0,no checking account,15,existing credits paid back duly till now,car (new),177800,unknown/ no savings account,1 <= ... < 4 years,3,male : single
1,no checking account,24,existing credits paid back duly till now,domestic appliances,119850,25000 <= ... < 50000 INR ,.. >= 7 years,3,male : single
0,0 <= ... < 10000 INR,6,existing credits paid back duly till now,education,22700,... < 5000 INR,... < 1 year ,3,male : married/widowed
0,0 <= ... < 10000 INR,30,existing credits paid back duly till now,domestic appliances,85750,unknown/ no savings account,1 <= ... < 4 years,4,female : divorced/separated/married
1,0 <= ... < 10000 INR,27,critical account/ other credits existing (not at this bank),domestic appliances,126000,25000 <= ... < 50000 INR ,1 <= ... < 4 years,4,male : single
0,no checking account,15,existing credits paid back duly till now,domestic appliances,178400,... < 5000 INR,.. >= 7 years,4,female : divorced/separated/married
0,no checking account,42,existing credits paid back duly till now,domestic appliances,358300,unknown/ no savings account,4 <= ... < 7 years,2,male : married/widowed
0,< 0 INR,11,critical account/ other credits existing (not at this bank),car (new),196950,... < 5000 INR,1 <= ... < 4 years,1,male : single
0,0 <= ... < 10000 INR,15,existing credits paid back duly till now,education,75700,5000 <= ... < 25000 INR,1 <= ... < 4 years,4,male : single
0,no checking account,24,existing credits paid back duly till now,car (new),369650,... < 5000 INR,1 <= ... < 4 years,1,male : single
1,< 0 INR,24,all credits at this bank paid back duly,car (new),59650,... < 5000 INR,unemployed,1,female : divorced/separated/married
1,< 0 INR,60,existing credits paid back duly till now,business,364850,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,30,critical account/ other credits existing (not at this bank),domestic appliances,141550,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,24,existing credits paid back duly till now,domestic appliances,62900,25000 <= ... < 50000 INR ,1 <= ... < 4 years,3,female : divorced/separated/married
0,0 <= ... < 10000 INR,6,existing credits paid back duly till now,domestic appliances,37650,... < 5000 INR,1 <= ... < 4 years,2,female : divorced/separated/married
0,0 <= ... < 10000 INR,18,delay in paying off in the past,business,121350,unknown/ no savings account,.. >= 7 years,4,male : single
1,no checking account,24,delay in paying off in the past,car (new),126900,... < 5000 INR,.. >= 7 years,4,male : single
1,0 <= ... < 10000 INR,15,all credits at this bank paid back duly,car (new),63200,5000 <= ... < 25000 INR,1 <= ... < 4 years,2,male : married/widowed
1,0 <= ... < 10000 INR,30,critical account/ other credits existing (not at this bank),radio/television,419300,... < 5000 INR,4 <= ... < 7 years,2,male : single
1,no checking account,48,existing credits paid back duly till now,business,242200,... < 5000 INR,unemployed,3,male : single
0,>= 10000 INR / salary assignments for at least 1 year,21,existing credits paid back duly till now,car (new),146150,5000 <= ... < 25000 INR,1 <= ... < 4 years,1,female : divorced/separated/married
1,< 0 INR,36,existing credits paid back duly till now,car (used),411450,... < 5000 INR,1 <= ... < 4 years,2,male : single
0,no checking account,24,critical account/ other credits existing (not at this bank),radio/television,101400,... < 5000 INR,4 <= ... < 7 years,2,male : single
0,< 0 INR,15,critical account/ other credits existing (not at this bank),radio/television,71650,... < 5000 INR,1 <= ... < 4 years,4,female : divorced/separated/married
0,>= 10000 INR / salary assignments for at least 1 year,42,no credits taken/ all credits paid back duly,business,314450,... < 5000 INR,... < 1 year ,2,male : divorced/separated
0,no checking account,13,existing credits paid back duly till now,domestic appliances,70450,5000 <= ... < 25000 INR,unemployed,2,female : divorced/separated/married
0,< 0 INR,24,existing credits paid back duly till now,car (used),328950,... < 5000 INR,unemployed,4,male : single
0,0 <= ... < 10000 INR,24,critical account/ other credits existing (not at this bank),domestic appliances,87150,... < 5000 INR,.. >= 7 years,4,male : single
0,no checking account,12,critical account/ other credits existing (not at this bank),(vacation - does not exist?),178250,unknown/ no savings account,... < 1 year ,2,male : single
0,no checking account,15,all credits at this bank paid back duly,domestic appliances,78450,5000 <= ... < 25000 INR,.. >= 7 years,4,male : single
0,< 0 INR,18,existing credits paid back duly till now,domestic appliances,96800,unknown/ no savings account,4 <= ... < 7 years,2,male : married/widowed
0,< 0 INR,36,existing credits paid back duly till now,radio/television,197950,... < 5000 INR,unemployed,4,male : single
0,no checking account,12,existing credits paid back duly till now,car (new),119500,unknown/ no savings account,.. >= 7 years,4,male : single
0,no checking account,12,existing credits paid back duly till now,radio/television,86800,... < 5000 INR,4 <= ... < 7 years,3,female : divorced/separated/married
0,< 0 INR,30,existing credits paid back duly till now,car (used),192850,... < 5000 INR,1 <= ... < 4 years,4,male : divorced/separated
0,no checking account,12,existing credits paid back duly till now,domestic appliances,40200,... < 5000 INR,.. >= 7 years,4,male : single
1,< 0 INR,45,existing credits paid back duly till now,domestic appliances,92250,... < 5000 INR,1 <= ... < 4 years,4,male : single
0,0 <= ... < 10000 INR,45,critical account/ other credits existing (not at this bank),car (used),228800,5000 <= ... < 25000 INR,unemployed,3,male : single
